id_kecamatan,nama_kecamatan,nama_kabupaten,tahun,jumlah_penduduk_jiwa,luas_hutan_ha,luas_kebun_ha,luas_semak_ha,luas_kering_ha,luas_sawah_ha,luas_tambang_ha,luas_terbangun_ha,luas_air_ha,total_pk_sawah_ton,total_pb_sawah_ton,total_e_sawah_mcal,yield_pk_sawah_ton_ha,yield_pb_sawah_ton_ha,yield_e_sawah_mcal_ha,total_pk_kering_ton,total_pb_kering_ton,total_e_kering_mcal,yield_pk_kering_ton_ha,yield_pb_kering_ton_ha,yield_e_kering_mcal_ha,energi_tersedia_mcal,kebutuhan_energi_mcal,gap_energi_mcal,rasio_energi_kebutuhan,delta_jumlah_penduduk_jiwa,pct_jumlah_penduduk_jiwa,delta_luas_sawah_ha,pct_luas_sawah_ha,delta_luas_kering_ha,pct_luas_kering_ha,delta_total_pk_sawah_ton,pct_total_pk_sawah_ton,delta_total_pb_sawah_ton,pct_total_pb_sawah_ton,delta_total_e_sawah_mcal,pct_total_e_sawah_mcal,delta_yield_pk_sawah_ton_ha,pct_yield_pk_sawah_ton_ha,delta_yield_pb_sawah_ton_ha,pct_yield_pb_sawah_ton_ha,delta_yield_e_sawah_mcal_ha,pct_yield_e_sawah_mcal_ha,delta_total_pk_kering_ton,pct_total_pk_kering_ton,delta_total_pb_kering_ton,pct_total_pb_kering_ton,delta_total_e_kering_mcal,pct_total_e_kering_mcal,delta_yield_pk_kering_ton_ha,pct_yield_pk_kering_ton_ha,delta_yield_pb_kering_ton_ha,pct_yield_pb_kering_ton_ha,delta_yield_e_kering_mcal_ha,pct_yield_e_kering_mcal_ha,delta_energi_tersedia_mcal,pct_energi_tersedia_mcal,delta_kebutuhan_energi_mcal,pct_kebutuhan_energi_mcal,delta_sawah_hurs,delta_kering_hurs,delta_sawah_mrso,delta_kering_mrso,delta_sawah_pr,delta_kering_pr,delta_sawah_tas,delta_kering_tas,indeks_k2_komposit,indeks_sfai,indeks_akses_informasi
10,Polinggona,Kolaka,2020,12047.57,5708.07,4948.11,1587.24,7705.17,413.01,0.0,346.23,0.0,1939.98,1236.74,4415163.0,4.7,2.99,10690.21,187389.78,158662.89,343774880.0,24.32,20.59,44616.13,348190043.0,5540675.0,342649368.0,62.8425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3464,0.3464,0.3879
11,Iwoimendaa,Kolaka,2020,6869.5,15199.56,0.0,567.18,3820.77,208.44,0.0,92.16,34.02,979.08,624.16,2228266.75,4.7,2.99,10690.21,92921.13,78676.3,170467968.0,24.32,20.59,44616.13,172696234.75,3159282.75,169536952.0,54.6631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.265,0.265,0.2316
12,Lambuya,Konawe,2020,9073.22,4221.27,98.37,1905.93,1319.31,2117.52,0.0,115.2,37.26,8486.0,5409.82,19313074.0,4.01,2.55,9120.61,13958.3,11818.49,25607130.0,10.58,8.96,19409.49,44920204.0,4172776.0,40747428.0,10.7651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4534,0.4534,0.6654
13,Unaaha,Konawe,2020,14230.88,65.79,0.0,297.63,326.88,886.86,0.0,1098.36,40.32,3554.11,2265.74,8088704.0,4.01,2.55,9120.61,3458.39,2928.22,6344572.5,10.58,8.96,19409.49,14433276.5,6544780.0,7888496.5,2.2053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6973,0.6973,0.9992
14,Wawotobi,Konawe,2020,11379.16,122.4,561.42,1850.31,2532.96,1910.79,0.0,416.7,0.0,7657.52,4881.67,17427570.0,4.01,2.55,9120.61,26798.72,22690.47,49163448.0,10.58,8.96,19409.48,66591018.0,5233276.0,61357742.0,12.7245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6299,0.6299,0.7727
15,Pondidaha,Konawe,2020,11404.64,729.9,917.1,5075.91,2214.45,1112.31,0.0,103.68,43.83,4457.6,2841.72,10144945.0,4.01,2.55,9120.61,23428.88,19837.23,42981336.0,10.58,8.96,19409.49,53126281.0,5244992.5,47881288.5,10.129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6315,0.6315,0.5494
16,Sampara,Konawe,2020,2471.99,902.97,251.73,3256.92,141.66,0.0,0.0,43.11,72.9,0.0,0.0,0.0,0.0,0.0,0.0,1498.76,1269.0,2749547.75,10.58,8.96,19409.49,2749547.75,1136869.0,1612678.75,2.4185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6277,0.6277,0.8408
17,Abuki,Konawe,2020,9256.7,13684.32,426.42,2116.17,3033.0,981.09,0.0,151.83,89.82,3931.74,2506.48,8948140.0,4.01,2.55,9120.61,32089.14,27169.88,58868972.0,10.58,8.96,19409.49,67817112.0,4257158.5,63559953.5,15.9301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3002,0.3002,0.5353
18,Soropia,Konawe,2020,6459.23,96.03,0.0,3676.32,1246.23,0.0,0.0,129.96,23.49,0.0,0.0,0.0,0.0,0.0,0.0,13185.12,11163.84,24188682.0,10.58,8.96,19409.48,24188682.0,2970600.25,21218081.75,8.1427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6611,0.6611,0.8379
19,Tongauna,Konawe,2020,5989.43,717.12,0.0,947.34,615.69,2002.95,0.0,422.1,20.88,8026.86,5117.12,18268126.0,4.01,2.55,9120.61,6514.0,5515.4,11950226.0,10.58,8.96,19409.49,30218352.0,2754537.25,27463814.75,10.9704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5251,0.5251,0.91
