id_kecamatan,nama_kecamatan,nama_kabupaten,tahun,delta_sawah_hurs,delta_kering_hurs,delta_sawah_mrso,delta_kering_mrso,delta_sawah_pr,delta_kering_pr,delta_sawah_tas,delta_kering_tas
82,Palangga Selatan,Konawe Selatan,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,Mowila,Konawe Selatan,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,Moramo Utara,Konawe Selatan,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,Buke,Konawe Selatan,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,Wolasi,Konawe Selatan,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,Laeya,Konawe Selatan,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,Baito,Konawe Selatan,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,Basala,Konawe Selatan,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,Ranomeeto Barat,Konawe Selatan,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,Kolono Timur,Konawe Selatan,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,Sabulakoa,Konawe Selatan,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,Andoolo Barat,Konawe Selatan,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,Poleang,Bombana,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,Poleang Timur,Bombana,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,Rarowatu,Bombana,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,Rumbia,Bombana,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,Kabaena,Bombana,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,Kabaena Timur,Bombana,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,Poleang Barat,Bombana,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,Mata Oleo,Bombana,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,Rarowatu Utara,Bombana,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,Poleang Utara,Bombana,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,Poleang Selatan,Bombana,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,Poleang Tenggara,Bombana,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,Kabaena Selatan,Bombana,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,Kabaena Barat,Bombana,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,Kabaena Utara,Bombana,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,Kabaena Tengah,Bombana,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,Kep. Masaloka Raya,Bombana,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,Rumbia Tengah,Bombana,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,Poleang Tengah,Bombana,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,Tontonunu,Bombana,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,Lantari Jaya,Bombana,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,Mata Usu,Bombana,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,Wangi-Wangi,Wakatobi,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,Kaledupa,Wakatobi,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,Tomia,Wakatobi,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,Binongko,Wakatobi,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,Wangi Wangi Selatan,Wakatobi,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,Kaledupa Selatan,Wakatobi,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,Tomia Timur,Wakatobi,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,Togo Binongko,Wakatobi,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,Lasusua,Kolaka Utara,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,Pakue,Kolaka Utara,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,Batu Putih,Kolaka Utara,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127,Rante Angin,Kolaka Utara,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,Kodeoha,Kolaka Utara,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,Ngapa,Kolaka Utara,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,Wawo,Kolaka Utara,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,Lambai,Kolaka Utara,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132,Watunohu,Kolaka Utara,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,Pakue Tengah,Kolaka Utara,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
